BODY,STOPWORDS,LEMMATIZED,STEMMED,BIGRAMS,TRIGRAMS
very happy with the service and the wait time was very good,very happy with the service and the wait time was very good,very happy with the service and the wait time be very good,veri happi with the servic and the wait time be veri good,"('veri', 'happi'), ('happi', 'with'), ('with', 'the'), ('the', 'servic'), ('servic', 'and'), ('and', 'the'), ('the', 'wait'), ('wait', 'time'), ('time', 'be'), ('be', 'veri'), ('veri', 'good')","('veri', 'happi', 'with'), ('happi', 'with', 'the'), ('with', 'the', 'servic'), ('the', 'servic', 'and'), ('servic', 'and', 'the'), ('and', 'the', 'wait'), ('the', 'wait', 'time'), ('wait', 'time', 'be'), ('time', 'be', 'veri'), ('be', 'veri', 'good')"
compare to griffin breast center this place is not patient center feels like you are just a number theres no room to place your things as it was so busy so had to walk around with personal items i wish i had different insurance and i could go back to griffin unfortunately the health care we live in is dictated by insurance not patients preference,compare to griffin breast center this place is not patient center feels like you are just a number theres no room to place your things as it was so busy so had to walk around with personal items i wish i had different insurance and i could go back to griffin unfortunately the health care we live in is dictated by insurance not patients preference,compare to griffin breast center this place be not patient center feel like you be just a number there s no room to place your thing as it be so busy so have to walk around with personal item I wish I have different insurance and I could go back to griffin unfortunately the health care we live in be dictate by insurance not patient preference,compar to griffin breast center this place be not patient center feel like you be just a number there s no room to place your thing as it be so busi so have to walk around with person item i wish i have differ insur and i could go back to griffin unfortun the health care we live in be dictat by insur not patient prefer,"('compar', 'to'), ('to', 'griffin'), ('griffin', 'breast'), ('breast', 'center'), ('center', 'this'), ('this', 'place'), ('place', 'be'), ('be', 'not'), ('not', 'patient'), ('patient', 'center'), ('center', 'feel'), ('feel', 'like'), ('like', 'you'), ('you', 'be'), ('be', 'just'), ('just', 'a'), ('a', 'number'), ('number', 'there'), ('there', 's'), ('s', 'no'), ('no', 'room'), ('room', 'to'), ('to', 'place'), ('place', 'your'), ('your', 'thing'), ('thing', 'as'), ('as', 'it'), ('it', 'be'), ('be', 'so'), ('so', 'busi'), ('busi', 'so'), ('so', 'have'), ('have', 'to'), ('to', 'walk'), ('walk', 'around'), ('around', 'with'), ('with', 'person'), ('person', 'item'), ('item', 'i'), ('i', 'wish'), ('wish', 'i'), ('i', 'have'), ('have', 'differ'), ('differ', 'insur'), ('insur', 'and'), ('and', 'i'), ('i', 'could'), ('could', 'go'), ('go', 'back'), ('back', 'to'), ('to', 'griffin'), ('griffin', 'unfortun'), ('unfortun', 'the'), ('the', 'health'), ('health', 'care'), ('care', 'we'), ('we', 'live'), ('live', 'in'), ('in', 'be'), ('be', 'dictat'), ('dictat', 'by'), ('by', 'insur'), ('insur', 'not'), ('not', 'patient'), ('patient', 'prefer')","('compar', 'to', 'griffin'), ('to', 'griffin', 'breast'), ('griffin', 'breast', 'center'), ('breast', 'center', 'this'), ('center', 'this', 'place'), ('this', 'place', 'be'), ('place', 'be', 'not'), ('be', 'not', 'patient'), ('not', 'patient', 'center'), ('patient', 'center', 'feel'), ('center', 'feel', 'like'), ('feel', 'like', 'you'), ('like', 'you', 'be'), ('you', 'be', 'just'), ('be', 'just', 'a'), ('just', 'a', 'number'), ('a', 'number', 'there'), ('number', 'there', 's'), ('there', 's', 'no'), ('s', 'no', 'room'), ('no', 'room', 'to'), ('room', 'to', 'place'), ('to', 'place', 'your'), ('place', 'your', 'thing'), ('your', 'thing', 'as'), ('thing', 'as', 'it'), ('as', 'it', 'be'), ('it', 'be', 'so'), ('be', 'so', 'busi'), ('so', 'busi', 'so'), ('busi', 'so', 'have'), ('so', 'have', 'to'), ('have', 'to', 'walk'), ('to', 'walk', 'around'), ('walk', 'around', 'with'), ('around', 'with', 'person'), ('with', 'person', 'item'), ('person', 'item', 'i'), ('item', 'i', 'wish'), ('i', 'wish', 'i'), ('wish', 'i', 'have'), ('i', 'have', 'differ'), ('have', 'differ', 'insur'), ('differ', 'insur', 'and'), ('insur', 'and', 'i'), ('and', 'i', 'could'), ('i', 'could', 'go'), ('could', 'go', 'back'), ('go', 'back', 'to'), ('back', 'to', 'griffin'), ('to', 'griffin', 'unfortun'), ('griffin', 'unfortun', 'the'), ('unfortun', 'the', 'health'), ('the', 'health', 'care'), ('health', 'care', 'we'), ('care', 'we', 'live'), ('we', 'live', 'in'), ('live', 'in', 'be'), ('in', 'be', 'dictat'), ('be', 'dictat', 'by'), ('dictat', 'by', 'insur'), ('by', 'insur', 'not'), ('insur', 'not', 'patient'), ('not', 'patient', 'prefer')"
great team,great team,great team,great team,"('great', 'team')",
my technician kelsey was so kind and understanding of my anxiety she sought to give me my results as soon as she could such a caring human being,my technician kelsey was so kind and understanding of my anxiety she sought to give me my results as soon as she could such a caring human being,my technician kelsey be so kind and understanding of my anxiety she seek to give I my result as soon as she could such a caring human being,my technician kelsey be so kind and understand of my anxieti she seek to give i my result as soon as she could such a care human be,"('my', 'technician'), ('technician', 'kelsey'), ('kelsey', 'be'), ('be', 'so'), ('so', 'kind'), ('kind', 'and'), ('and', 'understand'), ('understand', 'of'), ('of', 'my'), ('my', 'anxieti'), ('anxieti', 'she'), ('she', 'seek'), ('seek', 'to'), ('to', 'give'), ('give', 'i'), ('i', 'my'), ('my', 'result'), ('result', 'as'), ('as', 'soon'), ('soon', 'as'), ('as', 'she'), ('she', 'could'), ('could', 'such'), ('such', 'a'), ('a', 'care'), ('care', 'human'), ('human', 'be')","('my', 'technician', 'kelsey'), ('technician', 'kelsey', 'be'), ('kelsey', 'be', 'so'), ('be', 'so', 'kind'), ('so', 'kind', 'and'), ('kind', 'and', 'understand'), ('and', 'understand', 'of'), ('understand', 'of', 'my'), ('of', 'my', 'anxieti'), ('my', 'anxieti', 'she'), ('anxieti', 'she', 'seek'), ('she', 'seek', 'to'), ('seek', 'to', 'give'), ('to', 'give', 'i'), ('give', 'i', 'my'), ('i', 'my', 'result'), ('my', 'result', 'as'), ('result', 'as', 'soon'), ('as', 'soon', 'as'), ('soon', 'as', 'she'), ('as', 'she', 'could'), ('she', 'could', 'such'), ('could', 'such', 'a'), ('such', 'a', 'care'), ('a', 'care', 'human'), ('care', 'human', 'be')"
getting these types of scans is a stressful experience at times but advanced radiologys professionalism expertise and kindness with patients puts your mind at ease,getting these types of scans is a stressful experience at times but advanced radiologys professionalism expertise and kindness with patients puts your mind at ease,get these type of scan be a stressful experience at time but advanced radiologys professionalism expertise and kindness with patient put your mind at ease,get these type of scan be a stress experi at time but advanc radiolog profession expertis and kind with patient put your mind at eas,"('get', 'these'), ('these', 'type'), ('type', 'of'), ('of', 'scan'), ('scan', 'be'), ('be', 'a'), ('a', 'stress'), ('stress', 'experi'), ('experi', 'at'), ('at', 'time'), ('time', 'but'), ('but', 'advanc'), ('advanc', 'radiolog'), ('radiolog', 'profession'), ('profession', 'expertis'), ('expertis', 'and'), ('and', 'kind'), ('kind', 'with'), ('with', 'patient'), ('patient', 'put'), ('put', 'your'), ('your', 'mind'), ('mind', 'at'), ('at', 'eas')","('get', 'these', 'type'), ('these', 'type', 'of'), ('type', 'of', 'scan'), ('of', 'scan', 'be'), ('scan', 'be', 'a'), ('be', 'a', 'stress'), ('a', 'stress', 'experi'), ('stress', 'experi', 'at'), ('experi', 'at', 'time'), ('at', 'time', 'but'), ('time', 'but', 'advanc'), ('but', 'advanc', 'radiolog'), ('advanc', 'radiolog', 'profession'), ('radiolog', 'profession', 'expertis'), ('profession', 'expertis', 'and'), ('expertis', 'and', 'kind'), ('and', 'kind', 'with'), ('kind', 'with', 'patient'), ('with', 'patient', 'put'), ('patient', 'put', 'your'), ('put', 'your', 'mind'), ('your', 'mind', 'at'), ('mind', 'at', 'eas')"
they are very friendly,they are very friendly,they be very friendly,they be veri friend,"('they', 'be'), ('be', 'veri'), ('veri', 'friend')","('they', 'be', 'veri'), ('be', 'veri', 'friend')"
directions to the facility were confusing,directions to the facility were confusing,direction to the facility be confuse,direct to the facil be confus,"('direct', 'to'), ('to', 'the'), ('the', 'facil'), ('facil', 'be'), ('be', 'confus')","('direct', 'to', 'the'), ('to', 'the', 'facil'), ('the', 'facil', 'be'), ('facil', 'be', 'confus')"
ty,ty,ty,ty,,
everyone was very helpful and friendly they all made the visit pretty easy,everyone was very helpful and friendly they all made the visit pretty easy,everyone be very helpful and friendly they all make the visit pretty easy,everyon be veri help and friend they all make the visit pretti easi,"('everyon', 'be'), ('be', 'veri'), ('veri', 'help'), ('help', 'and'), ('and', 'friend'), ('friend', 'they'), ('they', 'all'), ('all', 'make'), ('make', 'the'), ('the', 'visit'), ('visit', 'pretti'), ('pretti', 'easi')","('everyon', 'be', 'veri'), ('be', 'veri', 'help'), ('veri', 'help', 'and'), ('help', 'and', 'friend'), ('and', 'friend', 'they'), ('friend', 'they', 'all'), ('they', 'all', 'make'), ('all', 'make', 'the'), ('make', 'the', 'visit'), ('the', 'visit', 'pretti'), ('visit', 'pretti', 'easi')"
i first went to the shelton office but was told the equipment was not working so i was forced to travel to the stratford office it was an inconvenience for me but i was accommodated as a walk in,i first went to the shelton office but was told the equipment was not working so i was forced to travel to the stratford office it was an inconvenience for me but i was accommodated as a walk in,I first go to the shelton office but be tell the equipment be not work so I be force to travel to the stratford office it be an inconvenience for I but I be accommodate as a walk in,i first go to the shelton offic but be tell the equip be not work so i be forc to travel to the stratford offic it be an inconveni for i but i be accommod as a walk in,"('i', 'first'), ('first', 'go'), ('go', 'to'), ('to', 'the'), ('the', 'shelton'), ('shelton', 'offic'), ('offic', 'but'), ('but', 'be'), ('be', 'tell'), ('tell', 'the'), ('the', 'equip'), ('equip', 'be'), ('be', 'not'), ('not', 'work'), ('work', 'so'), ('so', 'i'), ('i', 'be'), ('be', 'forc'), ('forc', 'to'), ('to', 'travel'), ('travel', 'to'), ('to', 'the'), ('the', 'stratford'), ('stratford', 'offic'), ('offic', 'it'), ('it', 'be'), ('be', 'an'), ('an', 'inconveni'), ('inconveni', 'for'), ('for', 'i'), ('i', 'but'), ('but', 'i'), ('i', 'be'), ('be', 'accommod'), ('accommod', 'as'), ('as', 'a'), ('a', 'walk'), ('walk', 'in')","('i', 'first', 'go'), ('first', 'go', 'to'), ('go', 'to', 'the'), ('to', 'the', 'shelton'), ('the', 'shelton', 'offic'), ('shelton', 'offic', 'but'), ('offic', 'but', 'be'), ('but', 'be', 'tell'), ('be', 'tell', 'the'), ('tell', 'the', 'equip'), ('the', 'equip', 'be'), ('equip', 'be', 'not'), ('be', 'not', 'work'), ('not', 'work', 'so'), ('work', 'so', 'i'), ('so', 'i', 'be'), ('i', 'be', 'forc'), ('be', 'forc', 'to'), ('forc', 'to', 'travel'), ('to', 'travel', 'to'), ('travel', 'to', 'the'), ('to', 'the', 'stratford'), ('the', 'stratford', 'offic'), ('stratford', 'offic', 'it'), ('offic', 'it', 'be'), ('it', 'be', 'an'), ('be', 'an', 'inconveni'), ('an', 'inconveni', 'for'), ('inconveni', 'for', 'i'), ('for', 'i', 'but'), ('i', 'but', 'i'), ('but', 'i', 'be'), ('i', 'be', 'accommod'), ('be', 'accommod', 'as'), ('accommod', 'as', 'a'), ('as', 'a', 'walk'), ('a', 'walk', 'in')"
very considerat,very considerat,very considerat,veri considerat,"('veri', 'considerat')",
everyone is very professional warm and welcoming i always feel very well taken care of when i'm there,everyone is very professional warm and welcoming i always feel very well taken care of when i'm there,everyone be very professional warm and welcome I always feel very well take care of when I ' m there,everyon be veri profession warm and welcom i alway feel veri well take care of when i ' m there,"('everyon', 'be'), ('be', 'veri'), ('veri', 'profession'), ('profession', 'warm'), ('warm', 'and'), ('and', 'welcom'), ('welcom', 'i'), ('i', 'alway'), ('alway', 'feel'), ('feel', 'veri'), ('veri', 'well'), ('well', 'take'), ('take', 'care'), ('care', 'of'), ('of', 'when'), ('when', 'i'), ('i', ""'""), (""'"", 'm'), ('m', 'there')","('everyon', 'be', 'veri'), ('be', 'veri', 'profession'), ('veri', 'profession', 'warm'), ('profession', 'warm', 'and'), ('warm', 'and', 'welcom'), ('and', 'welcom', 'i'), ('welcom', 'i', 'alway'), ('i', 'alway', 'feel'), ('alway', 'feel', 'veri'), ('feel', 'veri', 'well'), ('veri', 'well', 'take'), ('well', 'take', 'care'), ('take', 'care', 'of'), ('care', 'of', 'when'), ('of', 'when', 'i'), ('when', 'i', ""'""), ('i', ""'"", 'm'), (""'"", 'm', 'there')"
because i wasn't experiencing a problem i had to wait from august to december for the appt i was coming once a year because of dense breasts that was my only complaint,because i wasn't experiencing a problem i had to wait from august to december for the appt i was coming once a year because of dense breasts that was my only complaint,because I be not experience a problem I have to wait from august to december for the appt I be come once a year because of dense breast that be my only complaint,becaus i be not experi a problem i have to wait from august to decemb for the appt i be come onc a year becaus of dens breast that be my onli complaint,"('becaus', 'i'), ('i', 'be'), ('be', 'not'), ('not', 'experi'), ('experi', 'a'), ('a', 'problem'), ('problem', 'i'), ('i', 'have'), ('have', 'to'), ('to', 'wait'), ('wait', 'from'), ('from', 'august'), ('august', 'to'), ('to', 'decemb'), ('decemb', 'for'), ('for', 'the'), ('the', 'appt'), ('appt', 'i'), ('i', 'be'), ('be', 'come'), ('come', 'onc'), ('onc', 'a'), ('a', 'year'), ('year', 'becaus'), ('becaus', 'of'), ('of', 'dens'), ('dens', 'breast'), ('breast', 'that'), ('that', 'be'), ('be', 'my'), ('my', 'onli'), ('onli', 'complaint')","('becaus', 'i', 'be'), ('i', 'be', 'not'), ('be', 'not', 'experi'), ('not', 'experi', 'a'), ('experi', 'a', 'problem'), ('a', 'problem', 'i'), ('problem', 'i', 'have'), ('i', 'have', 'to'), ('have', 'to', 'wait'), ('to', 'wait', 'from'), ('wait', 'from', 'august'), ('from', 'august', 'to'), ('august', 'to', 'decemb'), ('to', 'decemb', 'for'), ('decemb', 'for', 'the'), ('for', 'the', 'appt'), ('the', 'appt', 'i'), ('appt', 'i', 'be'), ('i', 'be', 'come'), ('be', 'come', 'onc'), ('come', 'onc', 'a'), ('onc', 'a', 'year'), ('a', 'year', 'becaus'), ('year', 'becaus', 'of'), ('becaus', 'of', 'dens'), ('of', 'dens', 'breast'), ('dens', 'breast', 'that'), ('breast', 'that', 'be'), ('that', 'be', 'my'), ('be', 'my', 'onli'), ('my', 'onli', 'complaint')"
